name,description,price,category,image_url,website_url,product_url,stock,currency,payment_link,sku,color,size,required_fields,attributes
Essential T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",1399,T-Shirt,https://placehold.co/600x600?text=SF-T--011,,https://shubhamfashion.demo/products/SF-T--011,13,INR,,SF-T--011,White,S,"[""color"", ""size""]","{""color"": [""White""], ""size"": [""S""]}"
PureSoft T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",2199,T-Shirt,https://placehold.co/600x600?text=SF-T--012,,https://shubhamfashion.demo/products/SF-T--012,9,INR,,SF-T--012,White,XL,"[""color"", ""size""]","{""color"": [""White""], ""size"": [""XL""]}"
CityPulse T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",1199,T-Shirt,https://placehold.co/600x600?text=SF-T--013,,https://shubhamfashion.demo/products/SF-T--013,57,INR,,SF-T--013,White,XXL,"[""color"", ""size""]","{""color"": [""White""], ""size"": [""XXL""]}"
ComfortMax T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",1649,T-Shirt,https://placehold.co/600x600?text=SF-T--014,,https://shubhamfashion.demo/products/SF-T--014,55,INR,,SF-T--014,White,M,"[""color"", ""size""]","{""color"": [""White""], ""size"": [""M""]}"
PrimeBasic T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",749,T-Shirt,https://placehold.co/600x600?text=SF-T--015,,https://shubhamfashion.demo/products/SF-T--015,24,INR,,SF-T--015,Blue,M,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""M""]}"
FreshLine T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",1849,T-Shirt,https://placehold.co/600x600?text=SF-T--016,,https://shubhamfashion.demo/products/SF-T--016,48,INR,,SF-T--016,Olive,S,"[""color"", ""size""]","{""color"": [""Olive""], ""size"": [""S""]}"
Everyday T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",1249,T-Shirt,https://placehold.co/600x600?text=SF-T--017,,https://shubhamfashion.demo/products/SF-T--017,46,INR,,SF-T--017,Black,L,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""L""]}"
UrbanCore T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",1199,T-Shirt,https://placehold.co/600x600?text=SF-T--018,,https://shubhamfashion.demo/products/SF-T--018,38,INR,,SF-T--018,Olive,S,"[""color"", ""size""]","{""color"": [""Olive""], ""size"": [""S""]}"
MotionFit T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",999,T-Shirt,https://placehold.co/600x600?text=SF-T--019,,https://shubhamfashion.demo/products/SF-T--019,1,INR,,SF-T--019,Navy,M,"[""color"", ""size""]","{""color"": [""Navy""], ""size"": [""M""]}"
CloudCotton T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",749,T-Shirt,https://placehold.co/600x600?text=SF-T--020,,https://shubhamfashion.demo/products/SF-T--020,60,INR,,SF-T--020,Navy,M,"[""color"", ""size""]","{""color"": [""Navy""], ""size"": [""M""]}"
BoldEdge T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",649,T-Shirt,https://placehold.co/600x600?text=SF-T--021,,https://shubhamfashion.demo/products/SF-T--021,49,INR,,SF-T--021,Blue,XL,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""XL""]}"
ActiveFlow T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",799,T-Shirt,https://placehold.co/600x600?text=SF-T--022,,https://shubhamfashion.demo/products/SF-T--022,13,INR,,SF-T--022,Blue,XL,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""XL""]}"
ZenCotton T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",2099,T-Shirt,https://placehold.co/600x600?text=SF-T--023,,https://shubhamfashion.demo/products/SF-T--023,28,INR,,SF-T--023,Blue,L,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""L""]}"
ModernCrew T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",2049,T-Shirt,https://placehold.co/600x600?text=SF-T--024,,https://shubhamfashion.demo/products/SF-T--024,37,INR,,SF-T--024,Black,M,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""M""]}"
StyleCraft T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",2149,T-Shirt,https://placehold.co/600x600?text=SF-T--025,,https://shubhamfashion.demo/products/SF-T--025,14,INR,,SF-T--025,Olive,M,"[""color"", ""size""]","{""color"": [""Olive""], ""size"": [""M""]}"
AlphaFit T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",599,T-Shirt,https://placehold.co/600x600?text=SF-T--026,,https://shubhamfashion.demo/products/SF-T--026,13,INR,,SF-T--026,Navy,S,"[""color"", ""size""]","{""color"": [""Navy""], ""size"": [""S""]}"
TrueComfort T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",2099,T-Shirt,https://placehold.co/600x600?text=SF-T--027,,https://shubhamfashion.demo/products/SF-T--027,51,INR,,SF-T--027,Blue,XXL,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""XXL""]}"
RelaxWear T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",1699,T-Shirt,https://placehold.co/600x600?text=SF-T--028,,https://shubhamfashion.demo/products/SF-T--028,29,INR,,SF-T--028,Black,S,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""S""]}"
SmartCasual T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",549,T-Shirt,https://placehold.co/600x600?text=SF-T--029,,https://shubhamfashion.demo/products/SF-T--029,15,INR,,SF-T--029,Black,XL,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""XL""]}"
TrendCore T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",999,T-Shirt,https://placehold.co/600x600?text=SF-T--030,,https://shubhamfashion.demo/products/SF-T--030,29,INR,,SF-T--030,Olive,XL,"[""color"", ""size""]","{""color"": [""Olive""], ""size"": [""XL""]}"
MetroLine Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,1149,Shirt,https://placehold.co/600x600?text=SF-SH-001,,https://shubhamfashion.demo/products/SF-SH-001,53,INR,,0SF-SH-01,Grey,XXL,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""XXL""]}"
OfficePro Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,399,Shirt,https://placehold.co/600x600?text=SF-SH-002,,https://shubhamfashion.demo/products/SF-SH-002,55,INR,,SF-SH-002,White,M,"[""color"", ""size""]","{""color"": [""White""], ""size"": [""M""]}"
OxfordElite Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,1649,Shirt,https://placehold.co/600x600?text=SF-SH-003,,https://shubhamfashion.demo/products/SF-SH-003,59,INR,,SF-SH-003,White,XL,"[""color"", ""size""]","{""color"": [""White""], ""size"": [""XL""]}"
UrbanFormal Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,1849,Shirt,https://placehold.co/600x600?text=SF-SH-004,,https://shubhamfashion.demo/products/SF-SH-004,13,INR,,SF-SH-004,Grey,XXL,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""XXL""]}"
ClassicCheck Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,549,Shirt,https://placehold.co/600x600?text=SF-SH-005,,https://shubhamfashion.demo/products/SF-SH-005,32,INR,,SF-SH-005,Blue,L,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""L""]}"
LinenCraft Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,2049,Shirt,https://placehold.co/600x600?text=SF-SH-006,,https://shubhamfashion.demo/products/SF-SH-006,38,INR,,SF-SH-006,Black,XXL,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""XXL""]}"
BusinessFlex Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,599,Shirt,https://placehold.co/600x600?text=SF-SH-007,,https://shubhamfashion.demo/products/SF-SH-007,39,INR,,SF-SH-007,Grey,S,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""S""]}"
WeekendWear Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,649,Shirt,https://placehold.co/600x600?text=SF-SH-008,,https://shubhamfashion.demo/products/SF-SH-008,42,INR,,SF-SH-008,Blue,XXL,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""XXL""]}"
SmartEdge Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,1399,Shirt,https://placehold.co/600x600?text=SF-SH-009,,https://shubhamfashion.demo/products/SF-SH-009,29,INR,,SF-SH-009,Navy,XL,"[""color"", ""size""]","{""color"": [""Navy""], ""size"": [""XL""]}"
EliteFit Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,1399,Shirt,https://placehold.co/600x600?text=SF-SH-010,,https://shubhamfashion.demo/products/SF-SH-010,32,INR,,SF-SH-010,Black,XL,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""XL""]}"
CottonPrime Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,1199,Shirt,https://placehold.co/600x600?text=SF-SH-011,,https://shubhamfashion.demo/products/SF-SH-011,28,INR,,SF-SH-011,Navy,S,"[""color"", ""size""]","{""color"": [""Navy""], ""size"": [""S""]}"
Executive Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,2099,Shirt,https://placehold.co/600x600?text=SF-SH-012,,https://shubhamfashion.demo/products/SF-SH-012,19,INR,,SF-SH-012,Olive,XXL,"[""color"", ""size""]","{""color"": [""Olive""], ""size"": [""XXL""]}"
RoyalOxford Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,699,Shirt,https://placehold.co/600x600?text=SF-SH-013,,https://shubhamfashion.demo/products/SF-SH-013,17,INR,,SF-SH-013,Navy,S,"[""color"", ""size""]","{""color"": [""Navy""], ""size"": [""S""]}"
DailyOffice Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,1299,Shirt,https://placehold.co/600x600?text=SF-SH-014,,https://shubhamfashion.demo/products/SF-SH-014,32,INR,,SF-SH-014,Blue,L,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""L""]}"
PureLinen Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,1949,Shirt,https://placehold.co/600x600?text=SF-SH-015,,https://shubhamfashion.demo/products/SF-SH-015,0,INR,,SF-SH-015,Black,S,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""S""]}"
ModernStripe Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,1449,Shirt,https://placehold.co/600x600?text=SF-SH-016,,https://shubhamfashion.demo/products/SF-SH-016,45,INR,,SF-SH-016,Blue,L,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""L""]}"
ClassicWhite Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,1749,Shirt,https://placehold.co/600x600?text=SF-SH-017,,https://shubhamfashion.demo/products/SF-SH-017,37,INR,,SF-SH-017,Black,S,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""S""]}"
UrbanOffice Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,2149,Shirt,https://placehold.co/600x600?text=SF-SH-018,,https://shubhamfashion.demo/products/SF-SH-018,57,INR,,SF-SH-018,Grey,M,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""M""]}"
SoftCotton Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,1499,Shirt,https://placehold.co/600x600?text=SF-SH-019,,https://shubhamfashion.demo/products/SF-SH-019,56,INR,,SF-SH-019,Blue,M,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""M""]}"
Signature Shirt,Stylish shirt crafted from quality fabric with a comfortable fit suitable for office and casual occasions.,1699,Shirt,https://placehold.co/600x600?text=SF-SH-020,,https://shubhamfashion.demo/products/SF-SH-020,11,INR,,SF-SH-020,White,M,"[""color"", ""size""]","{""color"": [""White""], ""size"": [""M""]}"
DenimEdge Jeans,Durable stretch denim jeans designed for all-day comfort with a modern fit and premium finish.,1449,Jeans,https://placehold.co/600x600?text=SF-JE-001,,https://shubhamfashion.demo/products/SF-JE-001,24,INR,,SF-JE-001,Blue,M,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""M""]}"
BlueCraft Jeans,Durable stretch denim jeans designed for all-day comfort with a modern fit and premium finish.,499,Jeans,https://placehold.co/600x600?text=SF-JE-002,,https://shubhamfashion.demo/products/SF-JE-002,14,INR,,SF-JE-002,White,M,"[""color"", ""size""]","{""color"": [""White""], ""size"": [""M""]}"
FlexDenim Jeans,Durable stretch denim jeans designed for all-day comfort with a modern fit and premium finish.,449,Jeans,https://placehold.co/600x600?text=SF-JE-003,,https://shubhamfashion.demo/products/SF-JE-003,22,INR,,SF-JE-003,Grey,L,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""L""]}"
UrbanWash Jeans,Durable stretch denim jeans designed for all-day comfort with a modern fit and premium finish.,1999,Jeans,https://placehold.co/600x600?text=SF-JE-004,,https://shubhamfashion.demo/products/SF-JE-004,56,INR,,SF-JE-004,Blue,XXL,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""XXL""]}"
ClassicFit Jeans,Durable stretch denim jeans designed for all-day comfort with a modern fit and premium finish.,1199,Jeans,https://placehold.co/600x600?text=SF-JE-005,,https://shubhamfashion.demo/products/SF-JE-005,22,INR,,SF-JE-005,Olive,L,"[""color"", ""size""]","{""color"": [""Olive""], ""size"": [""L""]}"
StretchPro Jeans,Durable stretch denim jeans designed for all-day comfort with a modern fit and premium finish.,1399,Jeans,https://placehold.co/600x600?text=SF-JE-006,,https://shubhamfashion.demo/products/SF-JE-006,16,INR,,SF-JE-006,Olive,XXL,"[""color"", ""size""]","{""color"": [""Olive""], ""size"": [""XXL""]}"
StreetDenim Jeans,Durable stretch denim jeans designed for all-day comfort with a modern fit and premium finish.,499,Jeans,https://placehold.co/600x600?text=SF-JE-007,,https://shubhamfashion.demo/products/SF-JE-007,60,INR,,SF-JE-007,Black,XXL,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""XXL""]}"
VintageBlue Jeans,Durable stretch denim jeans designed for all-day comfort with a modern fit and premium finish.,1449,Jeans,https://placehold.co/600x600?text=SF-JE-008,,https://shubhamfashion.demo/products/SF-JE-008,20,INR,,SF-JE-008,Blue,S,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""S""]}"
RelaxDenim Jeans,Durable stretch denim jeans designed for all-day comfort with a modern fit and premium finish.,1649,Jeans,https://placehold.co/600x600?text=SF-JE-009,,https://shubhamfashion.demo/products/SF-JE-009,43,INR,,SF-JE-009,Olive,M,"[""color"", ""size""]","{""color"": [""Olive""], ""size"": [""M""]}"
RawDenim Jeans,Durable stretch denim jeans designed for all-day comfort with a modern fit and premium finish.,949,Jeans,https://placehold.co/600x600?text=SF-JE-010,,https://shubhamfashion.demo/products/SF-JE-010,27,INR,,SF-JE-010,Grey,XXL,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""XXL""]}"
MotionJeans Jeans,Durable stretch denim jeans designed for all-day comfort with a modern fit and premium finish.,1399,Jeans,https://placehold.co/600x600?text=SF-JE-011,,https://shubhamfashion.demo/products/SF-JE-011,42,INR,,SF-JE-011,Grey,XL,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""XL""]}"
PrimeDenim Jeans,Durable stretch denim jeans designed for all-day comfort with a modern fit and premium finish.,649,Jeans,https://placehold.co/600x600?text=SF-JE-012,,https://shubhamfashion.demo/products/SF-JE-012,43,INR,,SF-JE-012,Olive,XXL,"[""color"", ""size""]","{""color"": [""Olive""], ""size"": [""XXL""]}"
SlimEdge Jeans,Durable stretch denim jeans designed for all-day comfort with a modern fit and premium finish.,1349,Jeans,https://placehold.co/600x600?text=SF-JE-013,,https://shubhamfashion.demo/products/SF-JE-013,39,INR,,SF-JE-013,White,M,"[""color"", ""size""]","{""color"": [""White""], ""size"": [""M""]}"
ComfortWash Jeans,Durable stretch denim jeans designed for all-day comfort with a modern fit and premium finish.,599,Jeans,https://placehold.co/600x600?text=SF-JE-014,,https://shubhamfashion.demo/products/SF-JE-014,31,INR,,SF-JE-014,Grey,XXL,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""XXL""]}"
BoldDenim Jeans,Durable stretch denim jeans designed for all-day comfort with a modern fit and premium finish.,1649,Jeans,https://placehold.co/600x600?text=SF-JE-015,,https://shubhamfashion.demo/products/SF-JE-015,11,INR,,SF-JE-015,White,S,"[""color"", ""size""]","{""color"": [""White""], ""size"": [""S""]}"
WinterCore Hoodie,"Warm fleece hoodie featuring a soft inner lining, ribbed cuffs and a relaxed everyday fit.",2049,Hoodie,https://placehold.co/600x600?text=SF-HO-001,,https://shubhamfashion.demo/products/SF-HO-001,29,INR,,SF-HO-001,Grey,S,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""S""]}"
UrbanWarm Hoodie,"Warm fleece hoodie featuring a soft inner lining, ribbed cuffs and a relaxed everyday fit.",799,Hoodie,https://placehold.co/600x600?text=SF-HO-002,,https://shubhamfashion.demo/products/SF-HO-002,39,INR,,SF-HO-002,Grey,XXL,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""XXL""]}"
CozyFlex Hoodie,"Warm fleece hoodie featuring a soft inner lining, ribbed cuffs and a relaxed everyday fit.",1999,Hoodie,https://placehold.co/600x600?text=SF-HO-003,,https://shubhamfashion.demo/products/SF-HO-003,28,INR,,SF-HO-003,Grey,XXL,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""XXL""]}"
StreetHood Hoodie,"Warm fleece hoodie featuring a soft inner lining, ribbed cuffs and a relaxed everyday fit.",1199,Hoodie,https://placehold.co/600x600?text=SF-HO-004,,https://shubhamfashion.demo/products/SF-HO-004,28,INR,,SF-HO-004,White,L,"[""color"", ""size""]","{""color"": [""White""], ""size"": [""L""]}"
FleecePrime Hoodie,"Warm fleece hoodie featuring a soft inner lining, ribbed cuffs and a relaxed everyday fit.",599,Hoodie,https://placehold.co/600x600?text=SF-HO-005,,https://shubhamfashion.demo/products/SF-HO-005,57,INR,,SF-HO-005,Blue,L,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""L""]}"
CloudWarm Hoodie,"Warm fleece hoodie featuring a soft inner lining, ribbed cuffs and a relaxed everyday fit.",2099,Hoodie,https://placehold.co/600x600?text=SF-HO-006,,https://shubhamfashion.demo/products/SF-HO-006,45,INR,,SF-HO-006,Black,M,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""M""]}"
ActiveHood Hoodie,"Warm fleece hoodie featuring a soft inner lining, ribbed cuffs and a relaxed everyday fit.",1049,Hoodie,https://placehold.co/600x600?text=SF-HO-007,,https://shubhamfashion.demo/products/SF-HO-007,26,INR,,SF-HO-007,Black,XL,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""XL""]}"
MinimalWarm Hoodie,"Warm fleece hoodie featuring a soft inner lining, ribbed cuffs and a relaxed everyday fit.",549,Hoodie,https://placehold.co/600x600?text=SF-HO-008,,https://shubhamfashion.demo/products/SF-HO-008,54,INR,,SF-HO-008,White,XL,"[""color"", ""size""]","{""color"": [""White""], ""size"": [""XL""]}"
SnowLine Hoodie,"Warm fleece hoodie featuring a soft inner lining, ribbed cuffs and a relaxed everyday fit.",2199,Hoodie,https://placehold.co/600x600?text=SF-HO-009,,https://shubhamfashion.demo/products/SF-HO-009,48,INR,,SF-HO-009,Grey,XL,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""XL""]}"
MetroHood Hoodie,"Warm fleece hoodie featuring a soft inner lining, ribbed cuffs and a relaxed everyday fit.",1599,Hoodie,https://placehold.co/600x600?text=SF-HO-010,,https://shubhamfashion.demo/products/SF-HO-010,27,INR,,SF-HO-010,Grey,XXL,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""XXL""]}"
ComfortLayer Hoodie,"Warm fleece hoodie featuring a soft inner lining, ribbed cuffs and a relaxed everyday fit.",1949,Hoodie,https://placehold.co/600x600?text=SF-HO-011,,https://shubhamfashion.demo/products/SF-HO-011,46,INR,,SF-HO-011,Black,XL,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""XL""]}"
NorthEdge Hoodie,"Warm fleece hoodie featuring a soft inner lining, ribbed cuffs and a relaxed everyday fit.",899,Hoodie,https://placehold.co/600x600?text=SF-HO-012,,https://shubhamfashion.demo/products/SF-HO-012,42,INR,,SF-HO-012,Grey,M,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""M""]}"
AeroFit Joggers,"Comfortable joggers with stretch fabric, elastic waistband and practical pockets for daily wear.",449,Joggers,https://placehold.co/600x600?text=SF-JO-001,,https://shubhamfashion.demo/products/SF-JO-001,3,INR,,SF-JO-001,Blue,XL,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""XL""]}"
MotionTrack Joggers,"Comfortable joggers with stretch fabric, elastic waistband and practical pockets for daily wear.",1199,Joggers,https://placehold.co/600x600?text=SF-JO-002,,https://shubhamfashion.demo/products/SF-JO-002,17,INR,,SF-JO-002,Navy,M,"[""color"", ""size""]","{""color"": [""Navy""], ""size"": [""M""]}"
UrbanJog Joggers,"Comfortable joggers with stretch fabric, elastic waistband and practical pockets for daily wear.",1699,Joggers,https://placehold.co/600x600?text=SF-JO-003,,https://shubhamfashion.demo/products/SF-JO-003,60,INR,,SF-JO-003,Black,XL,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""XL""]}"
ComfortRun Joggers,"Comfortable joggers with stretch fabric, elastic waistband and practical pockets for daily wear.",1499,Joggers,https://placehold.co/600x600?text=SF-JO-004,,https://shubhamfashion.demo/products/SF-JO-004,12,INR,,SF-JO-004,Blue,S,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""S""]}"
FlexMove Joggers,"Comfortable joggers with stretch fabric, elastic waistband and practical pockets for daily wear.",449,Joggers,https://placehold.co/600x600?text=SF-JO-005,,https://shubhamfashion.demo/products/SF-JO-005,60,INR,,SF-JO-005,White,M,"[""color"", ""size""]","{""color"": [""White""], ""size"": [""M""]}"
PrimeJog Joggers,"Comfortable joggers with stretch fabric, elastic waistband and practical pockets for daily wear.",1049,Joggers,https://placehold.co/600x600?text=SF-JO-006,,https://shubhamfashion.demo/products/SF-JO-006,49,INR,,SF-JO-006,Blue,L,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""L""]}"
ActiveStride Joggers,"Comfortable joggers with stretch fabric, elastic waistband and practical pockets for daily wear.",899,Joggers,https://placehold.co/600x600?text=SF-JO-007,,https://shubhamfashion.demo/products/SF-JO-007,25,INR,,SF-JO-007,Black,XXL,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""XXL""]}"
StreetTrack Joggers,"Comfortable joggers with stretch fabric, elastic waistband and practical pockets for daily wear.",999,Joggers,https://placehold.co/600x600?text=SF-JO-008,,https://shubhamfashion.demo/products/SF-JO-008,54,INR,,SF-JO-008,Olive,M,"[""color"", ""size""]","{""color"": [""Olive""], ""size"": [""M""]}"
RelaxMove Joggers,"Comfortable joggers with stretch fabric, elastic waistband and practical pockets for daily wear.",749,Joggers,https://placehold.co/600x600?text=SF-JO-009,,https://shubhamfashion.demo/products/SF-JO-009,32,INR,,SF-JO-009,Navy,XXL,"[""color"", ""size""]","{""color"": [""Navy""], ""size"": [""XXL""]}"
